episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_speed,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
100,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,280,0.4285183250904083,0.028655119167108622,,out_of_road
101,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,181,4.049062252044678,0.1317952366144453,,arrive_dest
102,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,253,0.44732049107551575,0.008145738181404093,,out_of_road
103,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,257,10.90542221069336,0.227639270873907,,out_of_road
104,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,511,7.454254627227783,0.07501644441227331,,out_of_road
105,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,23.808141708374023,0.09840925555350259,,max_step
106,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,957,34.01538848876953,0.17278132057829507,,out_of_road
107,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,27.228822708129883,0.1104214345193468,,max_step
108,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,562,12.99567699432373,0.022791893853022122,,out_of_road
109,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,850,28.347618103027344,0.1313268417048761,,out_of_road
110,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,50,0.008138149976730347,0.010149684064090251,,out_of_road
111,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,35,-0.5570483207702637,0.014635666991983142,,out_of_road
112,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,525,12.950721740722656,0.05680546347761438,,arrive_dest
113,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,824,27.356956481933594,0.13092685294409906,,out_of_road
114,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,164,0.028752535581588745,0.04386741464117133,,out_of_road
115,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,836,24.38027000427246,0.07017513475621466,,out_of_road
116,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,193,3.487285614013672,0.18355795015807752,,out_of_road
117,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,162,3.6958189010620117,0.11230786112539562,,out_of_road
118,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,37.576934814453125,0.15911746847000904,,max_step
119,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,579,14.575738906860352,0.07391621195831834,,out_of_road
120,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,304,6.036223888397217,0.07820543116816368,,out_of_road
121,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,745,21.270442962646484,0.1629857608985981,,out_of_road
122,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,786,22.122785568237305,0.1509258981708807,,arrive_dest
123,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,66,0.5541424751281738,0.030367437862988674,,out_of_road
124,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,718,19.066650390625,0.11260560850261303,,out_of_road
125,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,715,21.86002540588379,0.14553700791463464,,out_of_road
126,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,28.751211166381836,0.10968719922425225,,max_step
127,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,664,20.196720123291016,0.12159422846617604,,arrive_dest
128,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,381,10.721905708312988,0.14416012226841032,,out_of_road
129,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,289,9.318732261657715,0.08527659928058774,,out_of_road
130,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,755,22.721181869506836,0.1523967046845729,,out_of_road
131,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,467,12.775900840759277,0.08397955653143994,,out_of_road
132,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,453,2.089709520339966,0.020677277261173358,,out_of_road
133,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,145,2.6645750999450684,0.03139691162725975,,out_of_road
134,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,147,2.543750286102295,0.020498179000656622,,out_of_road
135,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,296,6.930330753326416,0.04557787727035985,,out_of_road
136,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,399,-0.27988070249557495,0.15228898006311634,,out_of_road
